Call = 0, #Req = 3 # 3, #O = 0, #UG = 7, #C = 3, CT = 0.028179, FCI = 0, LAI = 1, SFI = 1, CI = 0, #Act = 3, Max PL = 1, 1
Call = 1, #Req = 3 # 3, #O = 0, #UG = 7, #C = 6, CT = 0.002272, FCI = 2, LAI = 1, SFI = 3, CI = 2, #Act = 3, Max PL = 1, 1
Call = 2, #Req = 3 # 3, #O = 0, #UG = 7, #C = 9, CT = 0.001842, FCI = 4, LAI = 1, SFI = 5, CI = 4, #Act = 3, Max PL = 1, 1
Call = 3, #Req = 3 # 3, #O = 0, #UG = 8, #C = 12, CT = 0.001886, FCI = 6, LAI = 1, SFI = 7, CI = 6, #Act = 3, Max PL = 1, 1
Call = 4, #Req = 3 # 3, #O = 0, #UG = 9, #C = 15, CT = 0.001952, FCI = 8, LAI = 1, SFI = 9, CI = 8, #Act = 3, Max PL = 1, 1
Call = 5, #Req = 3 # 3, #O = 0, #UG = 10, #C = 18, CT = 0.002017, FCI = 10, LAI = 1, SFI = 11, CI = 10, #Act = 3, Max PL = 1, 1
Call = 6, #Req = 3 # 3, #O = 0, #UG = 11, #C = 21, CT = 0.001551, FCI = 12, LAI = 1, SFI = 13, CI = 12, #Act = 3, Max PL = 1, 1
Call = 7, #Req = 3 # 3, #O = 0, #UG = 12, #C = 24, CT = 0.001862, FCI = 14, LAI = 1, SFI = 15, CI = 14, #Act = 3, Max PL = 1, 1
Call = 8, #Req = 3 # 3, #O = 0, #UG = 12, #C = 27, CT = 0.000219, FCI = 16, LAI = 1, SFI = 17, CI = 16, #Act = 3, Max PL = 1, 1
Call = 9, #Req = 3 # 3, #O = 0, #UG = 11, #C = 30, CT = 0.002242, FCI = 18, LAI = 1, SFI = 19, CI = 18, #Act = 3, Max PL = 3, 1
Call = 10, #Req = 2 # 2, #O = 0, #UG = 10, #C = 32, CT = 0.002213, FCI = 20, LAI = 1, SFI = 21, CI = 20, #Act = 1, Max PL = 1, 1
Call = 11, #Req = 1 # 1, #O = 0, #UG = 9, #C = 32, CT = 0.002929, FCI = 20, LAI = 1, SFI = 21, CI = 20, #Act = 0, Max PL = 0, 1
Call = 12, #Req = 2 # 1, #O = 0, #UG = 9, #C = 33, CT = 0.002453, FCI = 22, LAI = 1, SFI = 23, CI = 22, #Act = 2, Max PL = 5, 1
Call = 13, #Req = 1 # 1, #O = 0, #UG = 9, #C = 34, CT = 0.001565, FCI = 22, LAI = 1, SFI = 23, CI = 22, #Act = 1, Max PL = 1, 1
Call = 14, #Req = 2 # 2, #O = 0, #UG = 10, #C = 36, CT = 0.000244, FCI = 24, LAI = 1, SFI = 25, CI = 24, #Act = 2, Max PL = 1, 1
Call = 15, #Req = 2 # 2, #O = 0, #UG = 10, #C = 38, CT = 0.001960, FCI = 26, LAI = 1, SFI = 27, CI = 26, #Act = 2, Max PL = 1, 1
Call = 16, #Req = 3 # 3, #O = 0, #UG = 11, #C = 41, CT = 0.001330, FCI = 28, LAI = 1, SFI = 29, CI = 28, #Act = 3, Max PL = 1, 1
Call = 17, #Req = 3 # 3, #O = 0, #UG = 11, #C = 44, CT = 0.001917, FCI = 30, LAI = 1, SFI = 31, CI = 30, #Act = 3, Max PL = 1, 1
Call = 18, #Req = 3 # 3, #O = 0, #UG = 10, #C = 47, CT = 0.001025, FCI = 32, LAI = 1, SFI = 33, CI = 32, #Act = 3, Max PL = 2, 1
Call = 19, #Req = 2 # 2, #O = 0, #UG = 10, #C = 49, CT = 0.000204, FCI = 34, LAI = 1, SFI = 35, CI = 34, #Act = 2, Max PL = 1, 1
Call = 20, #Req = 1 # 1, #O = 0, #UG = 9, #C = 50, CT = 0.001780, FCI = 35, LAI = 1, SFI = 36, CI = 35, #Act = 1, Max PL = 1, 1
Call = 21, #Req = 2 # 2, #O = 0, #UG = 11, #C = 52, CT = 0.001890, FCI = 36, LAI = 1, SFI = 37, CI = 36, #Act = 2, Max PL = 1, 1
Call = 22, #Req = 1 # 1, #O = 0, #UG = 9, #C = 53, CT = 0.001874, FCI = 37, LAI = 1, SFI = 38, CI = 37, #Act = 1, Max PL = 1, 1
Call = 23, #Req = 2 # 2, #O = 0, #UG = 10, #C = 55, CT = 0.001823, FCI = 38, LAI = 1, SFI = 39, CI = 38, #Act = 2, Max PL = 1, 1
Call = 24, #Req = 1 # 1, #O = 0, #UG = 8, #C = 56, CT = 0.001999, FCI = 39, LAI = 1, SFI = 40, CI = 39, #Act = 0, Max PL = 0, 1
Call = 25, #Req = 2 # 1, #O = 0, #UG = 9, #C = 57, CT = 0.000327, FCI = 40, LAI = 1, SFI = 41, CI = 40, #Act = 2, Max PL = 4, 1
Call = 26, #Req = 1 # 1, #O = 0, #UG = 8, #C = 58, CT = 0.000375, FCI = 40, LAI = 1, SFI = 41, CI = 40, #Act = 1, Max PL = 1, 1
Call = 27, #Req = 2 # 2, #O = 0, #UG = 10, #C = 60, CT = 0.000208, FCI = 42, LAI = 1, SFI = 43, CI = 42, #Act = 2, Max PL = 1, 1
Call = 28, #Req = 2 # 2, #O = 0, #UG = 10, #C = 62, CT = 0.001506, FCI = 44, LAI = 1, SFI = 45, CI = 44, #Act = 2, Max PL = 1, 1
Call = 29, #Req = 1 # 1, #O = 0, #UG = 8, #C = 63, CT = 0.001948, FCI = 45, LAI = 1, SFI = 46, CI = 45, #Act = 0, Max PL = 0, 1
Call = 30, #Req = 2 # 1, #O = 0, #UG = 9, #C = 64, CT = 0.000466, FCI = 46, LAI = 1, SFI = 47, CI = 46, #Act = 2, Max PL = 3, 1
Call = 31, #Req = 1 # 1, #O = 0, #UG = 8, #C = 65, CT = 0.000413, FCI = 46, LAI = 1, SFI = 47, CI = 46, #Act = 1, Max PL = 1, 1
Call = 32, #Req = 2 # 2, #O = 0, #UG = 9, #C = 67, CT = 0.002856, FCI = 48, LAI = 1, SFI = 49, CI = 48, #Act = 2, Max PL = 1, 1
Call = 33, #Req = 3 # 3, #O = 0, #UG = 10, #C = 70, CT = 0.002005, FCI = 50, LAI = 1, SFI = 51, CI = 50, #Act = 3, Max PL = 1, 1
Call = 34, #Req = 3 # 3, #O = 0, #UG = 10, #C = 73, CT = 0.001945, FCI = 52, LAI = 1, SFI = 53, CI = 52, #Act = 3, Max PL = 1, 1
Call = 35, #Req = 3 # 3, #O = 0, #UG = 10, #C = 76, CT = 0.002195, FCI = 54, LAI = 1, SFI = 55, CI = 54, #Act = 3, Max PL = 1, 1
Call = 36, #Req = 3 # 3, #O = 0, #UG = 10, #C = 79, CT = 0.001836, FCI = 56, LAI = 1, SFI = 57, CI = 56, #Act = 3, Max PL = 1, 1
